cellula cellule
frammento frammenti
carcinoma carcinomi
neoformazione neoformazioni
margine margini
esame esami
linfonodo linfonodi
neoplasia neoplasie
grado gradi
materiale materiali
tessuto tessuti
mucosa mucose
diametro diametri
cutanea cutanee
cutaneo cutanei
resezione resezioni
infiltrante infiltranti
polipo polipi
neoplastica neoplastiche
intestinale intestinali
adenocarcinoma adenocarcinomi
campione campioni
nevo nevi
losanga losanghe
infiltrazione infiltrazioni
adenoma adenomi
chirurgica chirurgiche
negativo negativi
parete pareti
colorazione colorazioni
tipo tipi
neutrofilo neutrofili
limite limiti
destra destre
nodulo noduli
destro destri
mammella mammelle
