cellula cellule
frammento frammenti
carcinoma carcinomi
neoformazione neoformazioni
margine margini
esame esami
linfonodo linfonodi
neoplasia neoplasie
grado gradi
materiale materiali
tessuto tessuti
mucosa mucose
diametro diametri
cutanea cutanee
cutaneo cutanei
resezione resezioni
infiltrante infiltranti
polipo polipi
neoplastica neoplastiche
intestinale intestinali
adenocarcinoma adenocarcinomi
campione campioni
nevo nevi
losanga losanghe
infiltrazione infiltrazioni
adenoma adenomi
chirurgica chirurgiche
negativo negativi
parete pareti
colorazione colorazioni
tipo tipi
neutrofilo neutrofili
limite limiti
destra destre
nodulo noduli
destro destri
mammella mammelle
basso bassi
sinistra sinistre
proliferazione proliferazioni
pigmentata pigmentate
sezione sezioni
parenchima parenchimi
cronica croniche
displasia displasie
uterina uterine
presenza presenze
sinistro sinistri
lobo lobi
elemento elementi
compatibile compatibili
urina urine
via vie
ricerca ricerche
valutazione valutazioni
gastrica gastriche
prelievo prelievi
citologico citologici
epiteliale epiteliali
urinario urinari
costituito costituiti
lunghezza lunghezze
incluso inclusi
prelevato prelevati
distanza distanze
laterale laterali
inviato inviati
documentabile documentabili
endometrio endometri
ormonale ormonali
differenziato differenziati
normale normali
vescicale vescicali
minima minime
regione regioni
dimensione dimensioni
iperplasia iperplasie
libero liberi
medico medici
area aree
squamosa squamose
melanocitico melanocitici
adiposo adiposi
prostatico prostatici
profondo profondi
stroma stromi
mammario mammari
corpo corpi
multiplo multipli
papillare papillari
presente presenti
polinucleato polinucleati
